
# Curve 0 of 1, 250 points
# Curve title: "( ( ( ((((((x*5))-25)/10)/(sqrt((((((x*5))-25)/10*2)*((((x*5))-25)/10*2)+1)))+0.5) * (((-((x*5))+155)/10)/(sqrt((((-((x*5))+155)/10*2)*((-((x*5))+155)/10*2)+1)))+0.5) * sin(((x*5))/10*2*3.14159 - (0.9)*2*3.14159)) +  ((((((x*5))-25)/10)/(sqrt((((((x*5))-25)/10*2)*((((x*5))-25)/10*2)+1)))+0.5) * (((-((x*5))+155)/10)/(sqrt((((-((x*5))+155)/10*2)*((-((x*5))+155)/10*2)+1)))+0.5) * 1.2))))/1"
# x y type
0.00000 0.01735  i
0.14458 0.02141  i
0.28916 0.02396  i
0.43373 0.02445  i
0.57831 0.02267  i
0.72289 0.01890  i
0.86747 0.01388  i
1.01205 0.00874  i
1.15663 0.00483  i
1.30120 0.00346  i
1.44578 0.00566  i
1.59036 0.01188  i
1.73494 0.02185  i
1.87952 0.03451  i
2.02410 0.04810  i
2.16867 0.06038  i
2.31325 0.06904  i
2.45783 0.07215  i
2.60241 0.06863  i
2.74699 0.05870  i
2.89157 0.04418  i
3.03614 0.02853  i
3.18072 0.01665  i
3.32530 0.01436  i
3.46988 0.02761  i
3.61446 0.06141  i
3.75904 0.11857  i
3.90361 0.19839  i
4.04819 0.29541  i
4.19277 0.39848  i
4.33735 0.49067  i
4.48193 0.55089  i
4.62651 0.55840  i
4.77108 0.50117  i
4.91566 0.38666  i
5.06024 0.24931  i
5.20482 0.14665  i
5.34940 0.14092  i
5.49398 0.27404  i
5.63855 0.54912  i
5.78313 0.92675  i
5.92771 1.33560  i
6.07229 1.69156  i
6.21687 1.91901  i
6.36145 1.96897  i
6.50602 1.83026  i
6.65060 1.53211  i
6.79518 1.13787  i
6.93976 0.73153  i
7.08434 0.40000  i
7.22892 0.21489  i
7.37349 0.21755  i
7.51807 0.41042  i
7.66265 0.75645  i
7.80723 1.18669  i
7.95181 1.61441  i
8.09639 1.95290  i
8.24096 2.13330  i
8.38554 2.11875  i
8.53012 1.91202  i
8.67470 1.55501  i
8.81928 1.12035  i
8.96386 0.69658  i
9.10843 0.37018  i
9.25301 0.20797  i
9.39759 0.24343  i
