
# Curve 0 of 1, 200 points
# Curve title: "( abs( ( ((((((x*4))-25)/10)/(sqrt((((((x*4))-25)/10*2)*((((x*4))-25)/10*2)+1)))+0.5) * (((-((x*4))+155)/10)/(sqrt((((-((x*4))+155)/10*2)*((-((x*4))+155)/10*2)+1)))+0.5) * sin(((x*4))/10*2*3.14159 - (0.9+0.3)*2*3.14159)) +  ((((((x*4))-25)/10)/(sqrt((((((x*4))-25)/10*2)*((((x*4))-25)/10*2)+1)))+0.5) * (((-((x*4))+165)/20)/(sqrt((((-((x*4))+165)/20*2)*((-((x*4))+165)/20*2)+1)))+0.5) * 1.2))))/1"
# x y type
32.50000 0.23494  i
32.58794 0.32466  i
32.67588 0.45573  i
32.76382 0.62171  i
32.85176 0.81450  i
32.93970 1.02465  i
33.02764 1.24192  i
33.11558 1.45569  i
33.20352 1.65553  i
33.29146 1.83170  i
33.37940 1.97561  i
33.46734 2.08025  i
33.55528 2.14053  i
33.64322 2.15352  i
33.73116 2.11860  i
33.81910 2.03748  i
33.90704 1.91413  i
33.99497 1.75456  i
34.08291 1.56655  i
34.17085 1.35926  i
34.25879 1.14277  i
34.34673 0.92760  i
34.43467 0.72419  i
34.52261 0.54240  i
34.61055 0.39102  i
34.69849 0.27733  i
34.78643 0.20677  i
34.87437 0.18264  i
34.96231 0.20600  i
35.05025 0.27554  i
35.13819 0.38772  i
35.22613 0.53691  i
35.31407 0.71567  i
35.40201 0.91512  i
35.48995 1.12539  i
35.57789 1.33610  i
35.66583 1.53686  i
35.75377 1.71780  i
35.84171 1.87005  i
35.92965 1.98618  i
36.01759 2.06056  i
36.10553 2.08964  i
36.19347 2.07213  i
36.28141 2.00905  i
36.36935 1.90368  i
36.45729 1.76142  i
36.54523 1.58944  i
36.63317 1.39642  i
36.72111 1.19201  i
36.80905 0.98642  i
36.89698 0.78983  i
36.98492 0.61191  i
37.07286 0.46128  i
37.16080 0.34511  i
37.24874 0.26866  i
37.33668 0.23506  i
37.42462 0.24511  i
37.51256 0.29721  i
37.60050 0.38745  i
37.68844 0.50981  i
37.77638 0.65651  i
37.86432 0.81841  i
37.95226 0.98565  i
38.04020 1.14820  i
38.12814 1.29654  i
38.21608 1.42234  i
38.30402 1.51905  i
38.39196 1.58238  i
38.47990 1.61058  i
38.56784 1.60451  i
38.65578 1.56743  i
38.74372 1.50456  i
38.83166 1.42242  i
38.91960 1.32813  i
39.00754 1.22864  i
39.09548 1.13021  i
39.18342 1.03793  i
39.27136 0.95554  i
39.35930 0.88543  i
39.44724 0.82869  i
39.53518 0.78538  i
39.62312 0.75473  i
39.71106 0.73538  i
39.79899 0.72560  i
39.88693 0.72347  i
39.97487 0.72701  i
40.06281 0.73431  i
40.15075 0.74359  i
40.23869 0.75326  i
40.32663 0.76195  i
40.41457 0.76856  i
40.50251 0.77220  i
40.59045 0.77226  i
40.67839 0.76834  i
40.76633 0.76027  i
40.85427 0.74807  i
40.94221 0.73192  i
41.03015 0.71215  i
41.11809 0.68921  i
41.20603 0.66361  i
41.29397 0.63594  i
41.38191 0.60681  i
41.46985 0.57683  i
41.55779 0.54659  i
41.64573 0.51664  i
41.73367 0.48748  i
41.82161 0.45952  i
41.90955 0.43313  i
41.99749 0.40855  i
42.08543 0.38598  i
42.17337 0.36549  i
42.26131 0.34711  i
42.34925 0.33078  i
42.43719 0.31638  i
42.52513 0.30373  i
42.61307 0.29263  i
42.70101 0.28283  i
42.78894 0.27408  i
42.87688 0.26612  i
42.96482 0.25871  i
43.05276 0.25161  i
43.14070 0.24462  i
43.22864 0.23757  i
43.31658 0.23033  i
43.40452 0.22279  i
43.49246 0.21491  i
43.58040 0.20667  i
43.66834 0.19810  i
43.75628 0.18924  i
43.84422 0.18019  i
43.93216 0.17104  i
44.02010 0.16191  i
44.10804 0.15292  i
44.19598 0.14420  i
44.28392 0.13587  i
44.37186 0.12804  i
44.45980 0.12079  i
44.54774 0.11419  i
44.63568 0.10830  i
44.72362 0.10314  i
44.81156 0.09871  i
44.89950 0.09498  i
44.98744 0.09190  i
45.07538 0.08941  i
45.16332 0.08743  i
45.25126 0.08587  i
45.33920 0.08462  i
45.42714 0.08359  i
45.51508 0.08266  i
45.60302 0.08176  i
45.69095 0.08079  i
45.77889 0.07968  i
45.86683 0.07837  i
45.95477 0.07683  i
46.04271 0.07504  i
46.13065 0.07298  i
46.21859 0.07068  i
46.30653 0.06815  i
46.39447 0.06544  i
46.48241 0.06260  i
46.57035 0.05968  i
46.65829 0.05676  i
46.74623 0.05389  i
46.83417 0.05113  i
46.92211 0.04854  i
47.01005 0.04617  i
47.09799 0.04406  i
47.18593 0.04223  i
47.27387 0.04070  i
47.36181 0.03947  i
47.44975 0.03854  i
47.53769 0.03787  i
47.62563 0.03745  i
47.71357 0.03723  i
47.80151 0.03717  i
47.88945 0.03721  i
47.97739 0.03731  i
48.06533 0.03742  i
48.15327 0.03748  i
48.24121 0.03747  i
48.32915 0.03733  i
48.41709 0.03705  i
48.50503 0.03660  i
48.59296 0.03598  i
48.68090 0.03519  i
48.76884 0.03424  i
48.85678 0.03315  i
48.94472 0.03194  i
49.03266 0.03064  i
49.12060 0.02930  i
49.20854 0.02794  i
49.29648 0.02661  i
49.38442 0.02534  i
49.47236 0.02416  i
49.56030 0.02310  i
49.64824 0.02219  i
49.73618 0.02144  i
49.82412 0.02085  i
49.91206 0.02043  i
50.00000 0.02017  i

