
# Curve 0 of 1, 250 points
# Curve title: "(  ((((((x*5))-25)/10)/(sqrt((((((x*5))-25)/10*2)*((((x*5))-25)/10*2)+1)))+0.5) * (((-((x*5))+155)/10)/(sqrt((((-((x*5))+155)/10*2)*((-((x*5))+155)/10*2)+1)))+0.5) * sin(((x*5))/10*2*3.14159 - (0.9)*2*3.14159)))/1"
# x y type
0.00000 0.00571  i
0.14458 0.00908  i
0.28916 0.01089  i
0.43373 0.01057  i
0.57831 0.00790  i
0.72289 0.00315  i
0.86747 -0.00295  i
1.01205 -0.00928  i
1.15663 -0.01450  i
1.30120 -0.01732  i
1.44578 -0.01676  i
1.59036 -0.01236  i
1.73494 -0.00445  i
1.87952 0.00590  i
2.02410 0.01685  i
2.16867 0.02614  i
2.31325 0.03137  i
2.45783 0.03052  i
2.60241 0.02240  i
2.74699 0.00713  i
2.89157 -0.01368  i
3.03614 -0.03677  i
3.18072 -0.05752  i
3.32530 -0.07046  i
3.46988 -0.07011  i
3.61446 -0.05204  i
3.75904 -0.01420  i
3.90361 0.04174  i
4.04819 0.10914  i
4.19277 0.17543  i
4.33735 0.22219  i
4.48193 0.22701  i
4.62651 0.16847  i
4.77108 0.03523  i
4.91566 -0.16271  i
5.06024 -0.38653  i
5.20482 -0.57347  i
5.34940 -0.65668  i
5.49398 -0.59136  i
5.63855 -0.37343  i
5.78313 -0.04280  i
5.92771 0.32793  i
6.07229 0.65318  i
6.21687 0.85589  i
6.36145 0.88584  i
6.50602 0.73087  i
6.65060 0.41941  i
6.79518 0.01419  i
6.93976 -0.40128  i
7.08434 -0.74046  i
7.22892 -0.93203  i
7.37349 -0.93486  i
7.51807 -0.74669  i
7.66265 -0.40471  i
7.80723 0.02202  i
7.95181 0.44668  i
8.09639 0.78249  i
8.24096 0.96054  i
8.38554 0.94390  i
8.53012 0.73531  i
8.67470 0.37666  i
8.81928 -0.05949  i
8.96386 -0.48459  i
9.10843 -0.81218  i
9.25301 -0.97548  i
9.39759 -0.94100  i
9.54217 -0.71544  i
9.68675 -0.34433  i
9.83133 0.09716  i
9.97590 0.51946  i
10.12048 0.83681  i
10.26506 0.98468  i
10.40964 0.93288  i
10.55422 0.69176  i
10.69880 0.31010  i
10.84337 -0.13476  i
10.98795 -0.55258  i
11.13253 -0.85857  i
11.27711 -0.99057  i
11.42169 -0.92170  i
11.56627 -0.66583  i
11.71084 -0.27478  i
11.85542 0.17218  i
12.00000 0.58441  i
12.14458 0.87825  i
12.28916 0.99407  i
12.43373 0.90831  i
12.57831 0.63829  i
12.72289 0.23874  i
12.86747 -0.20935  i
13.01205 -0.61510  i
13.15663 -0.89620  i
13.30120 -0.99561  i
13.44578 -0.89312  i
13.59036 -0.60948  i
13.73494 -0.20218  i
13.87952 0.24621  i
14.02410 0.64473  i
14.16867 0.91258  i
14.31325 0.99539  i
14.45783 0.87635  i
14.60241 0.57957  i
14.74699 0.16522  i
14.89157 -0.28269  i
15.03614 -0.67332  i
15.18072 -0.92744  i
15.32530 -0.99352  i
15.46988 -0.85812  i
15.61446 -0.54868  i
15.75904 -0.12796  i
15.90361 0.31874  i
16.04819 0.70084  i
16.19277 0.94084  i
16.33735 0.99006  i
16.48193 0.83851  i
16.62651 0.51691  i
16.77108 0.09048  i
16.91566 -0.35432  i
17.06024 -0.72728  i
17.20482 -0.95277  i
17.34940 -0.98506  i
17.49398 -0.81759  i
17.63855 -0.48433  i
17.78313 -0.05285  i
17.92771 0.38935  i
18.07229 0.75260  i
18.21687 0.96323  i
18.36145 0.97854  i
18.50602 0.79542  i
18.65060 0.45100  i
18.79518 0.01514  i
18.93976 -0.42378  i
19.08434 -0.77676  i
19.22892 -0.97221  i
19.37349 -0.97051  i
19.51807 -0.77202  i
19.66265 -0.41698  i
19.80723 0.02259  i
19.95181 0.45755  i
20.09639 0.79971  i
20.24096 0.97968  i
20.38554 0.96098  i
20.53012 0.74742  i
20.67470 0.38232  i
20.81928 -0.06027  i
20.96386 -0.49059  i
21.10843 -0.82140  i
21.25301 -0.98560  i
21.39759 -0.94994  i
21.54217 -0.72166  i
21.68675 -0.34708  i
21.83133 0.09782  i
21.97590 0.52282  i
22.12048 0.84174  i
22.26506 0.98992  i
22.40964 0.93735  i
22.55422 0.69473  i
22.69880 0.31130  i
22.84337 -0.13517  i
22.98795 -0.55413  i
23.13253 -0.86063  i
23.27711 -0.99254  i
23.42169 -0.92317  i
23.56627 -0.66664  i
23.71084 -0.27502  i
23.85542 0.17222  i
24.00000 0.58438  i
24.14458 0.87790  i
24.28916 0.99329  i
24.43373 0.90725  i
24.57831 0.63731  i
24.72289 0.23829  i
24.86747 -0.20882  i
25.01205 -0.61333  i
25.15663 -0.89324  i
25.30120 -0.99187  i
25.44578 -0.88934  i
25.59036 -0.60660  i
25.73494 -0.20114  i
25.87952 0.24473  i
26.02410 0.64053  i
26.16867 0.90606  i
26.31325 0.98760  i
26.45783 0.86884  i
26.60241 0.57415  i
26.74699 0.16355  i
26.89157 -0.27948  i
27.03614 -0.66501  i
27.18072 -0.91495  i
27.32530 -0.97887  i
27.46988 -0.84425  i
27.61446 -0.53896  i
27.75904 -0.12549  i
27.90361 0.31185  i
28.04819 0.68412  i
28.19277 0.91598  i
28.33735 0.96099  i
28.48193 0.81104  i
28.62651 0.49796  i
28.77108 0.08677  i
28.91566 -0.33772  i
29.06024 -0.68860  i
29.20482 -0.89483  i
29.34940 -0.91612  i
29.49398 -0.75128  i
29.63855 -0.43848  i
29.78313 -0.04699  i
29.92771 0.33788  i
30.07229 0.63382  i
30.21687 0.78055  i
30.36145 0.75453  i
30.50602 0.57534  i
30.65060 0.30068  i
30.79518 0.00913  i
30.93976 -0.22521  i
31.08434 -0.35667  i
31.22892 -0.37864  i
31.37349 -0.31632  i
31.51807 -0.20901  i
31.66265 -0.09359  i
31.80723 0.00421  i
31.95181 0.07125  i
32.09639 0.10472  i
32.24096 0.10874  i
32.38554 0.09114  i
32.53012 0.06107  i
32.67470 0.02712  i
32.81928 -0.00374  i
32.96386 -0.02679  i
33.10843 -0.03975  i
33.25301 -0.04251  i
33.39759 -0.03672  i
33.54217 -0.02513  i
33.68675 -0.01094  i
33.83133 0.00280  i
33.97590 0.01366  i
34.12048 0.02015  i
34.26506 0.02178  i
34.40964 0.01902  i
34.55422 0.01304  i
34.69880 0.00542  i
34.84337 -0.00219  i
34.98795 -0.00836  i
35.13253 -0.01213  i
35.27711 -0.01309  i
35.42169 -0.01142  i
35.56627 -0.00775  i
35.71084 -0.00301  i
35.85542 0.00178  i
36.00000 0.00570  i

